,Name,Price,Rating,Image
56,"Lenovo IdeaPad Slim 3 Intel Core i7 11th Gen 15.6"" (39.62cm) FHD Laptop (16GB/512GB SSD/Win 11/Office 2021/1 Year Warranty/Arctic Grey/1.65Kg), 82H803LPIN","1,495",4.0 out of 5 stars,https://m.media-amazon.com/images/I/61nC5tJlUEL._AC_UY218_.jpg
57,"Lenovo IdeaPad Slim 3 Intel Core i7 11th Gen 15.6"" (39.62cm) FHD Laptop (16GB/512GB SSD/Win 11/Office 2021/1 Year Warranty/Arctic Grey/1.65Kg), 82H803LPIN","55,990",4.0 out of 5 stars,https://m.media-amazon.com/images/I/61nC5tJlUEL._AC_UY218_.jpg
58,Fujitsu UH-X 13th Gen Intel Evo Core i5 14 inch(35.5cm) FHD Thin & Light Laptop (16GB/512GB SSD)/Windows11/Iris Xe Graphics/Backlit/Fingerprint Reader/Black/868gm - 4ZR1M37246 w/Sleeve,"86,990",3.6 out of 5 stars,https://m.media-amazon.com/images/I/714TjZtB+hL._AC_UY218_.jpg
60,"ASUS Vivobook Pro 15, AMD Ryzen 7 6800HS, 15.6"" (39.62 cm) FHD, Creator Laptop (16 GB RAM/512GB SSD/4GB RTX 3050/Win11//Backlit KB/Fingerprint/Silver/1.80kg), M6500RC-HN742WS","72,990",4.6 out of 5 stars,https://m.media-amazon.com/images/I/61bqnJWP-CL._AC_UY218_.jpg
61,"Acer Aspire Lite AMD Ryzen 5 5500U Premium Thin and Light Laptop (16 GB RAM/1 TB SSD/Windows 11 Home) AL15-41, 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG","39,990",4.0 out of 5 stars,https://m.media-amazon.com/images/I/51KL3aOZ0tL._AC_UY218_.jpg
62,"ASUS [SmartChoice] Vivobook 16X 2023, Intel Core i5-13500H 13th Gen, 16.0-inch FHD+ 120Hz, T&L Laptop (16GB/512GB SSD/NVIDIA Geforce RTX 3050 4GB/Win11/FingerPrint/Silver/1.80 kg),K3605VC-MB542WS","75,990",4.3 out of 5 stars,https://m.media-amazon.com/images/I/717OtKImm9L._AC_UY218_.jpg
63,"Dell 14 Laptop, 13th Gen Intel Core i5-1335U Processor/ 8GB/ 512GB SSD/ 14.0"" (35.56cm) FHD/Windows 11 + MSO'21/15 Month McAfee/Spill-Resistant Keyboard/Carbon Black/Thin & Light- 1.46kg","57,990",2.9 out of 5 stars,https://m.media-amazon.com/images/I/51JVwUZNDwL._AC_UY218_.jpg
64,"Samsung Galaxy Book2 Pro 360 Intel 12th Gen i5 EvoTM 33.78 cm (13.3"") Touchscreen 2-in-1 AMOLED Thin & Light Laptop (16 GB/512 GB SSD/Windows 11/MS Office/with S Pen/Silver/1.04Kg), NP930QED-KB3IN","97,990",3.5 out of 5 stars,https://m.media-amazon.com/images/I/71gjnjXFcTL._AC_UY218_.jpg
65,"Acer Aspire 3 Laptop AMD Ryzen 3 7320U Quad-Core Processor (Windows 11 Home/8 GB/256 GB SSD/AMD Radeon Graphics) A315-24P, 39.6 cm (15.6"") Full HD Display","27,990",3.9 out of 5 stars,https://m.media-amazon.com/images/I/71KVtCRDojL._AC_UY218_.jpg
66,"Apple 2023 MacBook Pro (14-inch, M3 chip with 8‑core CPU and 10‑core GPU, 8GB Unified Memory, 512GB) - Silver","1,69,900",4.0 out of 5 stars,https://m.media-amazon.com/images/I/61xKOBNlu2L._AC_UY218_.jpg
